ident,classification,source,start,end,duration,path_relative,fold,frames,classification_original,path_audio,target
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14538.748,14539.748,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14538.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14538.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14544.876,14545.876,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14544.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14544.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14578.188,14579.188,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14578.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14578.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14584.124,14585.124,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14584.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14584.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14596.236,14597.236,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14596.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14596.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14614.428,14615.428,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14614.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14614.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14635.916,14636.916,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14635.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14635.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14646.06,14647.06,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14646.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14646.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14654.252,14655.252,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14654.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14654.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14722.492,14723.492,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14722.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14722.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",14739.964,14740.964,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14739.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s14739.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15466.828,15467.828,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15466.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15466.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15507.18,15508.18,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15507.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15507.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15527.212,15528.212,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15527.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15527.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15566.348,15567.348,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15566.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15566.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15600.252,15601.252,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15600.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15600.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15605.852,15606.852,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15605.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15605.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15623.552,15624.576,1.02399999999943,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15623.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15623.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15691.692,15692.692,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15691.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15691.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15707.82,15708.82,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15707.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15707.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15723.404,15724.404,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15723.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15723.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15738.06,15739.06,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15738.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15738.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15768.476,15769.476,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15768.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15768.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15867.244,15868.244,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15867.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15867.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",15893.244,15894.244,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15893.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s15893.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",16274.012,16275.012,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16274.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16274.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",16436.508,16437.508,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16436.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16436.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",16800.828,16801.828,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16800.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16800.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",16802.588,16803.588,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16802.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16802.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",16839.692,16840.692,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16839.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16839.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",16904.7,16905.7,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16904.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16904.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",16910.204,16911.204,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16910.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16910.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",16920.3,16921.3,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16920.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16920.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",16996.972,16997.972,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16996.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s16996.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17062.604,17063.604,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17062.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17062.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17099.244,17100.244,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17099.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17099.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17208.012,17209.012,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17208.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17208.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17219.996,17220.996,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17219.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17219.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17227.948,17228.948,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17227.wav,2,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17227.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17238.38,17239.38,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17238.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17238.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17270.844,17271.844,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17270.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17270.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17272.348,17273.348,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17272.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17272.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17285.596,17286.596,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17285.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17285.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17418.636,17419.636,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17418.wav,4,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17418.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17516.092,17517.092,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17516.wav,5,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17516.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17522.22,17523.22,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17522.wav,3,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17522.wav,3
Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01,ambient_scraping,"manual relabeling of unclassified audio (from ""other"" and ""none"" categories",17552.172,17553.172,1.0,Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17552.wav,1,1,ambient_scraping,./training/audio/Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01_s17552.wav,3
